418,3314,970,3418,472,3914,1302,4293,1680,3351,1763,3425,1700,850,2501,4337,2633,1100,2861,4321,2760,445,1852,1146,3365,2495,584,3359
0.804,-0.19,0.071,0.31,0.919,-0.116,-0.13,0.125,-0.001,-0.047,-0.019,0.21,0.038,-0.132,0.009,0.129,-0.141,-0.057,-0.226,0.169,-30.0,0.812,-0.154,-0.053,-0.268,0.062,-0.163,0.001
0.492,-0.018,-30.0,0.358,0.578,0.112,0.063,-30.0,0.161,0.02,0.107,0.205,0.112,-0.013,-0.062,-0.016,-0.031,-0.101,-0.496,0.103,-30.0,0.406,0.009,0.109,-0.176,-0.056,-0.035,0.079
-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,0.077,-30.0,-30.0,0.072,-0.001,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0
0.324,-30.0,-0.053,0.213,-30.0,0.131,-0.112,0.014,-0.17,0.28,-30.0,0.084,-0.032,0.017,-0.039,-0.026,-30.0,0.464,0.03,0.037,-30.0,0.469,-0.252,0.054,-30.0,-0.049,-0.003,0.306
0.063,-0.077,-0.433,0.089,0.115,0.097,-0.008,0.161,0.15,-0.029,0.192,0.162,0.131,-0.08,-0.52,0.012,0.114,-0.027,-0.031,0.194,-0.215,0.142,0.028,0.037,-0.061,-0.476,-0.031,0.105
0.203,0.033,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-0.08,-30.0,-30.0,-30.0,-30.0,0.031,0.007,-30.0,-30.0,-0.192,-0.165,-0.126,-30.0,-30.0,-30.0,0.342,-0.104,-0.06,-0.284,-30.0
0.229,0.084,-0.48,0.018,0.441,0.041,0.13,-30.0,0.12,0.184,-0.267,0.246,-30.0,-0.072,-0.067,-0.036,0.17,0.189,0.204,0.022,-30.0,0.227,-0.295,-0.174,-0.167,-0.031,0.255,0.28
0.518,-0.241,-0.058,0.304,0.669,0.239,-0.128,0.18,0.415,-0.04,0.1,0.229,-30.0,-0.02,-0.218,0.13,0.14,0.091,-0.362,0.24,-30.0,0.563,-0.041,0.036,-0.181,-0.216,0.031,-0.005
0.13,-0.041,0.037,-0.07,0.107,-0.087,-0.107,-0.087,0.184,0.016,-30.0,-0.1,0.044,-0.067,0.009,-0.087,-30.0,-0.078,-0.064,-0.143,-30.0,0.191,-0.08,-0.12,-0.226,-0.095,0.114,0.153
0.15,-30.0,-0.303,0.384,-30.0,-0.066,-0.232,-0.105,0.123,0.065,-30.0,0.166,-0.013,0.0,-0.027,-0.061,0.105,-30.0,0.021,0.02,-0.006,0.202,-0.053,0.007,-0.039,-0.016,0.037,0.024
0.105,-30.0,-0.009,0.373,-30.0,-0.065,-0.103,0.054,0.202,0.045,-30.0,0.047,-0.057,-0.046,-0.105,-0.045,0.107,-0.031,-0.016,0.055,0.035,0.347,-0.199,-0.089,0.185,-0.056,-0.079,0.09
